基金代码	基金名称	开始日期	类型
000001	华夏成长	2001-12-18	混合式基金
000003	中海可转债债券	2013-03-20	债券基金
000005	嘉实增强信用	2013-03-08	债券基金
000007	鹏华国企债	2013-03-08	债券基金
000008	嘉实中证500ETF联接基金	2013-03-22	联接基金
000009	易方达天天理财货币	2013-03-04	货币基金
000011	华夏大盘	2004-08-11	混合式基金
000014	华夏聚利债券	2013-03-19	债券基金
000015	华夏纯债债券	2013-03-08	债券基金
000017	财通可持续混合	2013-03-27	混合式基金
000020	景顺品质	2013-03-19	混合式基金
000021	华夏优势增长混合	2006-11-24	混合式基金
000022	南方中债中期票据指数债权发起式	2013-05-03	债券基金
000024	大摩双利增强债券	2013-03-26	债券基金
000026	泰达信用合利债券	2013-03-19	债券基金
000028	华富保本	2013-04-24	混合式基金
000029	富国宏观策略	2013-04-12	混合式基金
000030	长城久利	2013-04-18	混合式基金
000031	华夏复兴混合	2007-09-10	混合式基金
000032	易方达信用债债券	2013-04-24	债券基金
000037	广发理财7天债券	2013-06-20	货币基金
000039	农银高增长	2013-03-26	混合式基金
000041	华夏全球	2007-10-09	股票基金
000042	中证财通可持续发展100指数	2013-03-22	股票基金
000043	嘉实美国成长股票	2013-06-14	股票基金
000045	工银产业债券	2013-03-28	债券基金
000047	华夏双债债券	2013-03-14	债券基金
000049	中银标普全球	2013-03-19	股票基金
000050	长盛纯债债券基金	2013-03-13	债券基金
000051	华夏沪深300ETF联接	2009-07-10	联接基金
000053	鹏华永诚一年定期开放债券	2013-05-03	债券基金
000054	鹏华双债增利	2013-03-13	债券基金
270042	广发纳斯达克100指数（QDII）	2012-08-15	股票基金
000056	建信消费	2013-06-14	混合式基金
000057	中银消费	2013-04-25	混合式基金
000058	国联安保本	2013-04-23	混合式基金
000059	国联安医药100	2013-08-21	股票基金
000060	国联安股债	2013-06-26	混合式基金
000061	华夏盛世混合	2009-12-11	混合式基金
000062	银华量化	2013-05-22	混合式基金
000063	长盛电子信息	2013-05-10	混合式基金
000064	大摩18个月	2013-06-25	债券基金
000065	国海焦点驱动	2013-05-07	混合式基金
000066	诺安鸿鑫保本	2013-05-03	混合式基金
000067	民生加银转债优选	2013-04-18	债券基金
000069	国投瑞银中高等级债券	2013-05-14	债券基金
000071	华夏恒生ETF联接	2012-08-21	联接基金
000072	华安保本	2013-05-14	混合式基金
000073	上投成长	2013-05-15	混合式基金
000074	工银信用纯债一年定开债券	2013-05-22	债券基金
000078	工银信用纯债两年定开债券	2013-06-21	债券基金
000080	天治可转债	2013-06-04	债券基金
000082	嘉实研究阿尔法	2013-05-28	股票基金
000083	汇添富消费行业混合	2013-05-03	混合式基金
000084	博时安盈债券	2013-04-23	债券基金
000086	南方稳利	2013-07-23	债券基金
000087	嘉实中证金边中期国债ETF联接	2013-05-10	联接基金
000089	民生加银家盈理财月度	2013-04-25	货币基金
000103	国泰高收益债	2013-04-26	债券基金
000104	华宸稳健债券	2013-08-19	债券基金
000105	建信安心回报债券	2013-05-14	债券基金
000107	富国信用增强债券	2013-05-21	债券基金
000110	金鹰元安混合	2013-05-20	混合式基金
000111	易方达纯债1年定期开放债券	2013-07-30	债券基金
000113	嘉实如意宝定期债券	2013-06-04	债券基金
000116	嘉实丰益纯债	2013-05-21	债券基金
000117	广发轮动	2013-05-28	混合式基金
000118	广发聚鑫债券	2013-06-05	债券基金
000120	中银美丽中国	2013-06-07	混合式基金
000121	华夏永福养老理财混合	2013-08-13	混合式基金
000122	汇添富实业债券	2013-06-14	债券基金
000124	华宝服务优选混合	2013-06-27	混合式基金
000125	上投摩根天颐年丰混合	2013-07-18	混合式基金
000126	招商安润	2013-04-19	混合式基金
000127	农银行业领先	2013-06-25	混合式基金
000128	大成景安安融债券	2013-05-24	债券基金
000130	大成景兴信用债债券	2013-06-04	债券基金
000132	中银理财21天债券	2013-12-19	货币基金
000134	信诚28日盈	2017-05-25	货币基金
000136	民生策略	2013-06-07	混合式基金
000137	民生加银岁岁增利债券	2013-08-01	债券基金
000139	富国国有企业债债券	2013-09-25	债券基金
000142	融通通泰保本	2013-05-30	混合式基金
000143	鹏华双债加利	2013-05-27	债券基金
000145	长盛季季红1年定期债券	2013-06-14	债券基金
000147	易方达高等级信用债债券	2013-08-23	债券基金
000149	华安双债添利债券	2013-06-14	债券基金
000151	诺安信债	2013-06-18	债券基金
000152	大成景旭纯债债券	2013-07-23	债券基金
000165	国投策略精选	2013-09-27	混合式基金
000166	中海策略精选	2013-07-31	混合式基金
000167	广发聚优灵活配置混合	2013-09-11	混合式基金
000169	泰达宏利收益债券	2013-06-14	债券基金
000171	易方达裕丰	2013-08-23	债券基金
000172	华泰柏瑞量化增强混合A	2013-08-02	混合式基金
000173	汇添富美丽30混合	2013-06-25	混合式基金
000174	汇添富高息债债券A	2013-06-27	债券基金
000176	嘉实沪深300增强	2014-12-26	股票基金
000177	嘉实丰益信用定期债券	2013-08-21	债券基金
000178	博时混合	2013-11-08	混合式基金
000179	广发美国房地长指数（QDII）	2013-08-09	股票基金
000181	景顺长城四季金利纯债	2013-07-30	债券基金
000183	嘉实丰益策略	2013-07-30	债券基金
000184	工银添福债券	2013-10-31	债券基金
000186	华泰柏瑞季季红	2013-11-13	债券基金
000187	华泰柏瑞丰盛纯债债券	2013-09-02	债券基金
000189	易方达丰华债券	2016-01-13	债券基金
000190	中银新回报	2013-09-10	混合式基金
000191	富国信用债债券	2013-06-25	债券基金
000193	国泰美国房地产	2013-08-07	股票基金
000194	银华信用四季红债券	2013-08-07	债券基金
000195	工银保本3号混合	2013-06-26	混合式基金
000197	富国一年期	2013-06-27	债券基金
000198	天弘余额宝	2013-05-29	货币基金
000199	国泰量化策略收益	2013-08-12	混合式基金
000200	博时岁岁增利	2013-06-26	债券基金
000201	诺安泰鑫一年定期开放债券	2013-11-05	债券基金
000202	富国两年期	2013-09-13	债券基金
000203	国富日日收益货币	2013-07-24	货币基金
000205	易方达投资级信用债债券	2013-09-10	债券基金
000207	建信双债增强债券	2013-07-25	债券基金
000209	信诚新兴	2013-07-17	混合式基金
000210	光大保德信现金宝货币	2013-09-05	货币基金
000212	泰信鑫益定期开放	2013-07-17	债券基金
000214	广发成长优选	2013-12-11	混合式基金
000215	广发趋势	2013-09-11	混合式基金
000216	华安黄金易ETF联接	2013-08-22	联接基金
000218	国泰黄金ETF联接	2016-04-13	联接基金
000219	博时裕益	2013-07-29	混合式基金
000220	富国医保混合	2013-08-07	混合式基金
000221	汇添富年年利定期开放债券	2013-09-06	债券基金
000225	长盛年年收益定期债券	2013-08-09	债券基金
000227	华安年年红债券	2013-11-14	债券基金
000235	诺安稳固	2013-08-21	债券基金
000236	工银月月薪定期支付债券	2013-08-14	债券基金
000237	国投瑞银岁添利一年债券	2013-08-20	债券基金
000239	华安年年盈定期开放债	2015-02-03	债券基金
213006	宝盈核心优势混合	2009-03-17	混合式基金
000242	景顺精选	2013-08-07	混合式基金
000244	天弘稳利定期开放	2013-07-19	债券基金
000246	博时月月薪	2013-07-25	债券基金
000247	方正互利	2013-09-11	债券基金
000248	汇添富消费联接	2015-03-24	联接基金
000251	工银金融地产混合	2013-08-26	混合式基金
000252	景顺长城景兴信用纯债	2013-08-26	债券基金
000254	长城定期开放债券	2013-09-06	债券基金
000256	上投摩根红利回报混合	2013-09-17	混合式基金
000257	上投摩根岁岁盈定期开放债券	2013-08-28	债券基金
000259	农银区间收益	2013-08-21	混合式基金
000260	信诚季季定期	2013-09-12	债券基金
000263	工银信息产业混合	2013-11-11	混合式基金
000264	博时内需增长	2013-07-15	混合式基金
000265	易方达恒久1年定期债券	2014-09-10	债券基金
000267	广发集利一年定期开放债券	2013-08-21	债券基金
000269	嘉实合润双债两年期定期债券	2017-07-20	债券基金
000270	建信安心保本	2013-09-03	混合式基金
000271	中邮定期开放债券	2013-11-05	债券基金
000273	华润安鑫	2013-09-11	混合式基金
000274	广发亚太中高收益债券（QDII）	2013-11-28	债券基金
000277	博时双月薪	2013-10-22	债券基金
000278	融通通泽	2013-08-30	混合式基金
000279	华商红利	2013-09-17	混合式基金
000280	博时双债增强债券	2013-09-13	债券基金
000284	富安达信用纯债债券发起式	2013-10-25	债券基金
000286	银华信用季季红债券	2013-09-18	债券基金
000287	银华永利债券	2014-01-22	债券基金
000289	鹏华丰泰定期开放债券	2013-09-24	债券基金
000290	鹏华全球高收益债(QDII)	2013-10-22	债券基金
000294	华安生态优先混合	2013-11-28	混合式基金
000295	鹏华丰实定期开放债券	2013-09-10	债券基金
000297	鹏华可转债	2015-02-03	债券基金
000298	中海纯债债券	2014-04-23	债券基金
000300	德邦德利货币	2013-09-16	货币基金
000302	国泰淘金互联网	2013-11-19	债券基金
000303	长盛双月红1年定期债券	2013-09-24	债券基金
000305	中银中高等级债券	2013-12-05	债券基金
000306	天弘弘利	2013-09-11	债券基金
000307	易方达黄金ETF联接	2016-05-26	联接基金
000308	建信创新中国	2013-09-24	混合式基金
000309	大摩品质生活	2013-10-29	股票基金
000310	安信永利信用	2013-11-07	债券基金
000311	景顺沪深300	2013-10-29	股票基金
000312	华安沪深300增强	2013-09-27	股票基金
000314	招商瑞丰混合发起式	2013-11-06	混合式基金
000315	融通通祥	2013-10-22	混合式基金
000319	泰达淘利债券	2014-08-06	债券基金
000322	农银14天理财债券A	2013-12-17	货币基金
000324	华润元大现金收益货币	2013-10-29	货币基金
000326	南方中小盘成长	2015-10-28	股票基金
000327	南方新蓝筹混合	2015-05-29	混合式基金
000328	上投转型动力	2013-11-25	混合式基金
000329	鹏华丰饶定期开放债券	2016-08-24	债券基金
000330	汇添富现金宝	2013-09-12	货币基金
000331	中加货币	2013-10-21	货币基金
000333	长城稳固收益债券型	2015-01-28	债券基金
000336	农银精选灵配	2013-11-05	混合式基金
000338	鹏华双债保利	2013-09-18	债券基金
000339	长城医疗保健	2014-02-28	混合式基金
000343	华夏财富宝货币	2013-10-25	货币基金
000345	鹏华丰融	2013-11-19	债券基金
000346	建信安心回报两年定期开放债券	2013-11-05	债券基金
000348	广发中债金融债指数	2013-11-07	债券基金
000351	国富恒丰定期债券	2013-11-20	债券基金
003003	华夏现金增利货币	2004-04-07	货币基金
000354	长盛城镇化主题混合	2013-11-12	混合式基金
000355	南方丰元信用增强债券	2013-11-12	债券基金
000359	易方达易理财	2013-10-24	货币基金
000360	信诚年年有余定期开放债券	2013-11-27	债券基金
000362	国泰聚信价值优势灵活配置	2013-12-17	混合式基金
000366	汇添富添富通货币	2013-12-10	货币基金
000367	国泰安康养老定期支付混合	2014-04-29	混合式基金
000368	汇添富沪深300	2013-11-06	股票基金
000369	广发全球医疗保健（QDII）	2013-12-10	股票基金
000371	民生加银现金宝货币	2013-10-18	货币基金
000372	中银惠利纯债	2013-11-07	债券基金
000373	华安中证细分医院ETF联接	2014-11-28	联接基金
000377	上投摩根双债增利债券	2013-12-11	债券基金
000379	平安日增利	2013-12-03	货币基金
000380	景顺长城景益货币	2013-11-26	货币基金
000385	景顺长城景颐双利债券	2013-11-13	债券基金
000387	泰达宏利瑞利分级债券	2013-11-14	债券基金
000389	广发天天红	2013-10-22	货币基金
000390	华商优势行业	2013-12-11	混合式基金
000391	招商标普高收益红利指数增强基金	2013-12-11	股票基金
000394	融通通源短融债券	2013-12-31	债券基金
000395	汇添富安心中国债券	2013-11-25	债券基金
000397	汇添富全额宝	2013-12-13	货币基金
000398	华富灵活配置混合	2014-08-07	混合式基金
000400	中融增鑫定期开放债券	2013-12-03	债券基金
000402	工银纯债债券	2014-05-16	债券基金
000404	易方达新兴成长	2013-11-28	混合式基金
000405	信诚月月定期	2013-12-30	债券基金
000406	汇添富双利增强债券	2013-12-03	债券基金
000408	民生城镇化	2013-12-12	混合式基金
000409	鹏华环保产业	2014-03-07	股票基金
000410	益民服务领先	2013-12-13	混合式基金
000411	景顺优质成长	2014-01-02	股票基金
000412	国开岁月鎏金定开信用债	2013-12-23	债券基金
000414	嘉实绝对收益	2013-12-06	混合式基金
000415	大摩添利18个月开放债券	2014-09-02	债券基金
000417	国联安新精选	2014-03-04	混合式基金
000418	景顺成长之星	2013-12-13	股票基金
000419	大摩华鑫优质信价纯债基金	2014-11-25	债券基金
000421	华泰柏瑞丰汇债券	2014-12-10	债券基金
000423	前海开源事件驱动混合	2013-12-19	混合式基金
000424	长盛添利宝货币	2013-12-09	货币基金
000426	大成信用增利一年债券	2014-01-28	债券基金
000431	鹏华品牌	2014-01-28	混合式基金
000432	中银优秀企业	2014-01-28	混合式基金
000433	安信鑫发优选	2013-12-31	混合式基金
000434	新华壹诺宝货币	2013-12-03	货币基金
000435	建信稳定添利债券	2013-12-10	债券基金
000436	易方达裕惠	2013-12-17	混合式基金
000437	融通月月添利定期开放债券	2014-08-29	债券基金
000439	国金鑫盈货币	2013-12-16	货币基金
000452	南方医保	2014-01-23	混合式基金
000457	上投摩根核心	2014-02-10	股票基金
000458	英大领先回报	2014-03-05	混合式基金
000462	农银主题	2015-04-10	混合式基金
000463	华商双债丰利债券	2014-01-28	债券基金
000464	嘉实活期宝	2013-12-18	货币基金
000465	景顺鑫月薪	2014-03-20	债券基金
000466	融通通瑞债券	2014-03-21	债券基金
000467	信诚惠报	2016-04-08	债券基金
000469	富国目标齐利	2014-07-25	债券基金
000471	富国城镇发展	2014-01-28	股票基金
000473	广发集鑫债券	2014-01-27	债券基金
000475	广发天天利货币	2014-01-27	货币基金
000477	广发主题领先	2014-07-31	混合式基金
000478	建信中证500指数增强	2014-01-27	股票基金
000480	东方红新动力	2014-01-28	混合式基金
000483	鑫元货币	2013-12-30	货币基金
000485	嘉实一个月理财债券	2013-12-24	货币基金
000487	嘉实3个月理财债券	2014-06-26	货币基金
000489	光大保德信岁末红利债券	2014-08-12	债券基金
000493	南方现金通货币	2014-01-21	货币基金
000496	长安产业精选混合	2014-05-06	混合式基金
000497	财通纯债债券	2014-01-17	债券基金
000503	中信建投稳信一年	2014-01-27	债券基金
000505	国寿安保货币市场	2014-01-20	货币基金
000507	泰达宏利宏达混合	2014-03-05	混合式基金
000509	广发钱袋子	2014-01-10	货币基金
000510	诺安永鑫收益	2014-06-24	债券基金
000511	国泰国策驱动灵活配置混合	2014-02-17	混合式基金
000512	国泰结构转型灵活配置混合	2014-05-19	股票基金
000513	富国高端制造	2014-06-20	股票基金
000516	富国祥利一年期定期开放债券	2017-08-30	债券基金
000520	上银新兴价值	2014-05-06	混合式基金
000521	诺安瑞鑫定开债	2017-12-28	债券基金
000522	华润元大信息	2014-03-31	混合式基金
000523	国投医疗保健	2014-02-25	混合式基金
000524	上投摩根民生	2014-03-14	股票基金
000526	国泰浓益灵活配置混合	2014-03-05	混合式基金
000527	南方新优享灵活配置混合	2014-02-25	混合式基金
000528	工银薪金宝货币	2014-01-27	货币基金
000529	广发竞争优势	2014-03-12	混合式基金
000530	招商丰盛稳定增长混合	2014-03-20	混合式基金
000531	东吴阿尔法灵活	2014-03-19	混合式基金
000532	景顺优势企业	2014-03-19	混合式基金
000533	永赢货币	2014-02-27	货币基金
000534	长盛高端装备	2014-03-25	混合式基金
000535	长盛航天海工	2014-03-11	混合式基金
000536	前海开源可转债	2014-03-25	债券基金
000538	诺安优势行业混合	2014-03-14	混合式基金
000539	中银活期宝	2014-02-14	货币基金
000540	国金金腾通货币	2014-02-17	货币基金
000541	华商创新成长	2014-03-18	混合式基金
000542	上银慧财宝货币	2014-02-27	货币基金
000545	中邮核心竞争	2014-04-23	混合式基金
000546	兴业定期开放债券	2014-03-13	债券基金
000547	建信健康民生	2014-03-21	混合式基金
000548	鹏华聚财通货币	2017-05-18	货币基金
000549	华安大国新经济	2014-04-14	股票基金
000550	广发新动力混合	2014-03-19	混合式基金
000551	信诚幸福消费	2014-04-29	混合式基金
000552	中加纯债一年	2014-03-24	债券基金
000554	中国梦灵活配置	2014-06-09	混合式基金
000556	国投瑞银新机遇混合	2014-03-11	混合式基金
000558	国投瑞易	2014-03-20	货币基金
000559	诺安天天宝货币	2014-03-25	货币基金
000561	南方启元债券	2014-07-25	债券基金
000563	南方通力债券	2014-04-25	债券基金
000566	华泰创新升级	2014-05-06	混合式基金
000567	广发聚祥灵活	2014-03-21	混合式基金
000569	鹏华增值宝货币	2014-02-26	货币基金
000571	中邮双动力	2014-05-04	混合式基金
000572	中银多策略	2014-03-31	混合式基金
000573	天弘通利混合	2014-03-14	混合式基金
000574	宝盈新价值	2014-04-10	混合式基金
000575	兴全添利宝	2014-02-27	货币基金
000576	中邮货币	2014-05-28	货币基金
000577	安信价值精选	2014-04-21	股票基金
000578	鑫元恒鑫收益增强	2014-04-17	债券基金
000581	嘉实活钱包货币	2014-03-17	货币基金
000583	江信聚福	2014-05-29	债券基金
000584	新华鑫益	2014-04-16	混合式基金
000585	嘉实对冲套利	2014-05-16	混合式基金
000586	景顺中小创业板	2014-04-30	股票基金
000587	大成灵活配置	2014-05-14	混合式基金
000588	招商招财宝货币	2014-03-25	货币基金
000589	光大商机	2014-04-29	混合式基金
000590	华安新活力	2014-04-01	混合式基金
000591	中银健康生活	2014-05-20	混合式基金
000592	建信改革红利	2014-05-14	股票基金
118002	易方达标普消费品指数增强（QDII）	2012-06-04	股票基金
000594	大摩进取优选	2014-05-29	股票基金
000595	嘉实泰和	2014-04-04	混合式基金
000596	前海开源中证军工指数	2014-05-27	股票基金
000597	中海积极收益	2014-05-26	混合式基金
000598	长盛生态	2014-09-10	混合式基金
000599	信诚薪金宝	2014-05-14	货币基金
000600	汇添富和聚宝	2014-05-28	货币基金
000601	华宝创新优选混合	2014-05-14	混合式基金
000602	富国安益	2014-05-26	货币基金
000603	易方达创新驱动	2015-02-13	混合式基金
000604	银华多利宝货币	2014-04-25	货币基金
000606	天弘优选债券	2017-09-26	债券基金
000609	华商新量化	2014-06-05	混合式基金
000610	新华阿里一号	2014-04-25	混合式基金
000611	长城淘金一年期	2014-05-07	债券基金
000612	华宝生态中国混合	2014-06-13	混合式基金
000613	国寿安保沪深300ETF联接	2014-06-05	联接基金
000614	华安德国30	2014-08-12	联接基金
000615	长城工资宝货币	2014-06-25	货币基金
000616	上投摩根优信增利	2014-06-11	债券基金
000618	嘉实薪金宝	2014-04-29	货币基金
000619	东方红产业	2014-06-06	混合式基金
000620	易方达现金增利货币	2015-02-05	货币基金
000626	大成招财宝货币	2014-06-17	货币基金
000628	大成高新技术	2015-02-03	股票基金
000629	圆信永丰纯债	2014-05-30	债券基金
000632	中银聚利半年期定期开放债券	2014-06-05	债券基金
000634	富国天盛	2014-04-30	混合式基金
000638	富国富钱包	2014-05-07	货币基金
000639	宝盈祥瑞混合	2014-05-21	混合式基金
000640	诺安理财宝货币	2014-05-12	货币基金
519518	汇添富货币	2006-03-23	货币基金
000643	华宝活期通货币	2014-05-21	货币基金
000644	招商招金宝货币	2014-06-19	货币基金
000645	华夏薪金宝	2014-05-26	货币基金
000646	华润元大医疗	2014-08-18	混合式基金
000647	易方达财富快线货币	2014-06-17	货币基金
000649	长城久鑫	2014-07-30	混合式基金
000652	博时裕隆	2014-06-03	混合式基金
000654	华商新锐	2014-07-24	混合式基金
000655	鑫元稳利	2014-06-12	债券基金
000656	前海沪深300	2014-06-17	股票基金
000657	银华活钱宝货币	2014-06-23	货币基金
000663	国投美丽中国	2014-06-24	混合式基金
000664	国联安通盈混合	2014-06-13	混合式基金
050003	博时现金收益货币	2004-01-16	货币基金
000667	工银瑞信绝对收益混合发起	2014-06-26	混合式基金
000668	国寿安保尊享债券	2014-07-24	债券基金
000670	天弘季加利理财	2014-06-17	货币基金
000677	工银现金货币	2014-09-23	货币基金
240006	华宝现金宝货币	2005-03-31	货币基金
000679	招商丰利混合	2014-08-12	混合式基金
000681	信达澳银慧管家货币	2014-06-26	货币基金
000684	长盛养老健康	2014-11-25	混合式基金
000685	上投现金管理	2014-08-19	货币基金
000686	建信嘉薪宝货币	2014-06-17	货币基金
000687	南方薪金宝	2014-06-23	货币基金
000688	景顺研究精选	2014-08-12	股票基金
000689	前海新经济	2014-08-20	混合式基金
000690	前海大海洋	2014-07-31	混合式基金
470018	汇添富双利债券	2011-01-26	债券基金
000693	建信现金添利货币	2014-09-17	货币基金
000694	鑫元鸿利	2014-06-26	债券基金
000695	大成景益平稳	2014-06-26	混合式基金
000696	汇添富环保	2014-09-16	股票基金
000697	汇添富移动互联	2014-08-26	股票基金
000698	宝盈科技30	2014-08-13	混合式基金
000699	中银薪钱包	2014-06-26	货币基金
162206	泰达宏利货币	2005-11-10	货币基金
000701	景顺长城景丰货币	2014-09-16	货币基金
000702	广发季季利债券	2014-09-29	货币基金
000704	易方达天天增利货币	2014-06-25	货币基金
000706	中邮多策略	2014-07-24	混合式基金
000708	华安安享混合	2015-01-23	混合式基金
000709	华安汇财通	2014-07-17	货币基金
000710	交银现金宝货币	2014-09-11	货币基金
000711	嘉实医疗保健	2014-08-13	股票基金
000712	上投摩根天添宝货币	2014-11-25	货币基金
000714	诺安稳健回报混合	2014-09-15	混合式基金
000717	融通转型	2015-01-16	混合式基金
000721	兴业货币	2014-08-06	货币基金
000724	大成添利宝货币	2014-07-28	货币基金
000727	融通健康产业	2014-12-25	混合式基金
000728	工银目标收益一年定开债券	2014-08-12	债券基金
000729	建信中小盘	2014-08-20	股票基金
000730	博时现金宝货币	2014-09-18	货币基金
000732	中原英石货币	2014-09-11	货币基金
000734	博时天天增利货币	2014-08-25	货币基金
000736	诺安聚利债券	2014-11-13	债券基金
000738	中信建投货币	2014-08-05	货币基金
000739	平安新鑫先锋	2015-01-29	混合式基金
000741	兴银货币	2014-08-27	货币基金
000742	国泰新经济	2014-09-16	混合式基金
000743	红塔盛世	2014-09-18	混合式基金
000744	北信瑞丰稳定收益	2014-08-27	债券基金
000746	招商行业	2014-09-03	股票基金
000747	广发逆向	2014-09-04	混合式基金
000748	广发活期宝货币	2014-08-28	货币基金
000749	国金鑫安保本	2014-08-27	混合式基金
000750	安信现金增利货币	2014-11-24	货币基金
000751	嘉实新兴	2014-09-17	股票基金
000752	博时优势	2014-09-15	债券基金
000753	华宝量化对冲混合	2014-09-17	混合式基金
000755	富安达新兴	2014-09-11	混合式基金
000756	建信潜力	2014-09-10	股票基金
000757	华富智慧	2014-10-31	混合式基金
000759	平安财富宝	2014-08-21	货币基金
000760	工银财富货币	2015-06-19	货币基金
000761	国富健康	2014-09-23	股票基金
000762	汇添富绝对收益定开混合	2017-03-15	混合式基金
000763	工银新财富	2014-09-19	混合式基金
519508	万家货币	2006-05-24	货币基金
000767	华富国泰民安	2015-02-04	混合式基金
000771	诺安聚鑫宝货币	2014-09-01	货币基金
000772	景顺中国回报	2014-11-06	混合式基金
000773	万家现金宝	2014-09-23	货币基金
000778	鹏华先进制造	2014-11-04	股票基金
000780	鹏华医疗	2014-09-23	股票基金
000781	国投瑞银岁增利一年债券	2014-09-26	债券基金
000783	博时月月盈短期理财债券	2014-09-22	货币基金
000785	华融现金增利	2014-09-16	货币基金
000788	前海中国成长	2014-09-29	混合式基金
000789	易方达龙宝货币	2014-09-12	货币基金
000791	银华双月定期理财债券	2014-09-05	货币基金
000792	招商定期宝六个月	2017-06-16	债券基金
000793	工银高端制造	2014-10-22	股票基金
000794	宝盈睿丰创新混合	2014-09-26	混合式基金
000797	方正金小宝	2014-09-24	货币基金
000798	民生加银家盈季度定期宝理财债	2017-09-13	货币基金
000799	民生家盈半年定期宝理财债	2018-02-11	货币基金
000800	华商未来	2014-10-14	混合式基金
000801	中金纯债	2014-11-03	债券基金
000803	工银研究精选	2014-10-23	股票基金
000804	中信建投稳利	2014-09-26	混合式基金
000805	中银新经济	2014-09-30	混合式基金
000806	信诚3个月理财债券	2014-10-21	货币基金
000808	招商招利1个月期理财债券	2014-09-25	货币基金
000810	富国收益增强债券	2014-10-28	债券基金
000816	南方理财金货币ETF	2014-12-04	货币基金
000817	中银安心回报	2014-10-24	债券基金
000819	新华财富金	2014-09-26	货币基金
000820	华安中证高分红指数增强	2014-11-14	股票基金
000822	东海美丽中国	2014-11-14	混合式基金
000823	银华高端制造	2014-11-13	混合式基金
000824	圆信永丰双利	2014-11-19	混合式基金
000826	广发百发100指数	2014-10-30	股票基金
000828	泰达转型	2014-11-18	股票基金
000829	易方达天天发货币	2017-02-16	货币基金
000831	工银医疗保健	2014-11-18	股票基金
420006	天弘现金管家货币	2012-06-20	货币基金
000833	易方达掌柜季季盈理财债券	2017-06-15	货币基金
000834	大成纳指100	2014-11-13	股票基金
000835	华润富时中国A50	2014-11-20	股票基金
000836	国投瑞银钱多宝货币	2014-10-17	货币基金
000839	上投摩根纯债丰利债券	2014-11-18	债券基金
000841	富国新回报灵活配置混合	2014-11-25	混合式基金
000844	南方绝对收益	2014-12-01	混合式基金
000845	国投信息消费	2014-12-03	混合式基金
000847	中融货币	2014-10-21	货币基金
000848	工银添益快线	2014-10-22	货币基金
000849	汇丰晋信双核策略混合	2014-11-26	混合式基金
000854	鹏华养老产业	2014-12-02	股票基金
000855	上投摩根天添盈货币	2014-11-25	货币基金
000860	银华惠增利	2014-11-14	货币基金
200003	长城货币	2005-05-30	货币基金
100025	富国天时货币	2006-06-05	货币基金
000865	大成景利混合	2014-12-09	混合式基金
000866	华宝制造股票	2014-12-10	股票基金
000867	华宝品质生活	2015-01-21	股票基金
000868	国投瑞银增利宝货币	2014-11-13	货币基金
000870	嘉实新收益	2014-12-10	混合式基金
000871	北信瑞丰宜投宝	2014-11-20	货币基金
000873	华安现金宝	2017-03-10	货币基金
000875	建信稳定得利债券	2014-12-02	债券基金
000877	华泰量化优选	2014-12-17	混合式基金
000878	中海医药混合	2014-12-17	混合式基金
000880	富国研究精选	2014-12-12	混合式基金
000882	中金现金管家	2014-11-28	货币基金
000884	民生优选股票	2014-12-19	股票基金
270027	广发全球农业指数（QDII）	2011-06-28	股票基金
000886	北信互联	2014-12-24	混合式基金
000887	上投稳进回报	2015-01-27	混合式基金
000889	上投摩根纯债添利债券	2014-12-24	债券基金
000892	九泰天宝混合	2015-07-23	混合式基金
000893	工银创新动力	2014-12-11	股票基金
000894	中欧睿达定开	2014-12-01	混合式基金
000895	国寿薪金宝	2014-11-20	货币基金
000896	鑫元聚鑫收益增强债券	2014-12-02	债券基金
000898	华富恒稳纯债债券	2014-12-17	债券基金
000900	新华阿鑫一号	2014-12-02	混合式基金
000901	国开泰富货币	2015-01-14	货币基金
000903	新华活期添利货币	2014-12-04	货币基金
000904	银华回报	2014-12-12	混合式基金
000905	鹏华安盈宝	2015-01-27	货币基金
270023	广发全球精选股票（QDII）	2010-08-18	股票基金
000907	农银红利日结货币	2014-12-19	货币基金
000911	鑫元合丰债券	2014-12-16	债券基金
000912	英大现金宝	2014-12-10	货币基金
000913	农银医疗保健	2015-02-10	股票基金
000914	中加纯债	2014-12-17	债券基金
000916	前海股息率	2015-01-13	股票基金
000917	嘉实机构快线货币	2015-06-25	货币基金
000921	中邮现金驿站货币市	2014-12-18	货币基金
000924	宝盈先进	2014-12-17	混合式基金
000925	汇添富外延	2014-12-08	股票基金
000926	中信建投睿信	2015-02-03	混合式基金
050015	博时大中华亚太精选股票(QDII)	2010-07-27	股票基金
000928	中融国企	2014-12-16	混合式基金
159937	博时黄金ETF	2014-08-13	noble_metal_fund
000931	国寿尊益债一年	2015-01-22	债券基金
000932	前海开源睿远稳健增利混合	2015-01-14	混合式基金
000934	国富大中华精选混合（QDII）	2015-02-03	混合式基金
000935	汇金转型成长	2014-12-30	混合式基金
000936	博时产业新动力混合	2015-01-26	混合式基金
000937	华商稳固添利债券	2015-02-17	债券基金
000939	中银研究精选	2014-12-23	混合式基金
000940	富国中小盘	2015-01-23	混合式基金
000942	广发信息技术联接	2015-01-29	联接基金
000943	工银中高等级信用债债券	2015-12-02	债券基金
000945	华夏医疗健康混合	2015-02-02	混合式基金
